UDP Prague receiver listening at 0.0.0.0 on port 5005 with max packet size 1400 bytes.
[RECVER]: 26.59 sec, Rcvd: 0.796 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 26.80 sec, Rcvd: 0.751 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 27.02 sec, Rcvd: 0.798 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 27.23 sec, Rcvd: 0.775 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 27.43 sec, Rcvd: 0.778 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 27.64 sec, Rcvd: 0.814 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 27.84 sec, Rcvd: 0.784 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/12), Lost: 0.00%(0/12)
[RECVER]: 28.05 sec, Rcvd: 0.846 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 28.25 sec, Rcvd: 0.947 Mbps, Sent: 0.018 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 28.48 sec, Rcvd: 0.634 Mbps, Sent: 0.012 Mbps, RTT: N/A, Mark: 0.00%(0/12), Lost: 0.00%(0/12)
[RECVER]: 28.69 sec, Rcvd: 0.789 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/16), Lost: 0.00%(0/16)
[RECVER]: 28.89 sec, Rcvd: 0.768 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 29.10 sec, Rcvd: 0.542 Mbps, Sent: 0.010 Mbps, RTT: N/A, Mark: 0.00%(0/10), Lost: 0.00%(0/10)
[RECVER]: 29.31 sec, Rcvd: 0.953 Mbps, Sent: 0.018 Mbps, RTT: N/A, Mark: 0.00%(0/18), Lost: 0.00%(0/18)
[RECVER]: 29.53 sec, Rcvd: 0.844 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 29.74 sec, Rcvd: 0.795 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 29.96 sec, Rcvd: 0.767 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 30.17 sec, Rcvd: 1.062 Mbps, Sent: 0.020 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 30.39 sec, Rcvd: 0.643 Mbps, Sent: 0.012 Mbps, RTT: N/A, Mark: 0.00%(0/12), Lost: 0.00%(0/12)
[RECVER]: 30.65 sec, Rcvd: 0.558 Mbps, Sent: 0.010 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 30.85 sec, Rcvd: 0.731 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/17), Lost: 0.00%(0/17)
[RECVER]: 31.05 sec, Rcvd: 0.573 Mbps, Sent: 0.011 Mbps, RTT: N/A, Mark: 0.00%(0/10), Lost: 0.00%(0/10)
[RECVER]: 31.29 sec, Rcvd: 0.538 Mbps, Sent: 0.010 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 31.50 sec, Rcvd: 0.686 Mbps, Sent: 0.013 Mbps, RTT: N/A, Mark: 0.00%(0/16), Lost: 6.25%(1/16)
[RECVER]: 31.70 sec, Rcvd: 0.857 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: -6.67%(-1/15)
[RECVER]: 31.92 sec, Rcvd: 0.784 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 32.13 sec, Rcvd: 0.811 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 32.34 sec, Rcvd: 0.730 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 32.55 sec, Rcvd: 0.747 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/12), Lost: 0.00%(0/12)
[RECVER]: 32.75 sec, Rcvd: 0.970 Mbps, Sent: 0.018 Mbps, RTT: N/A, Mark: 0.00%(0/16), Lost: 0.00%(0/16)
[RECVER]: 32.96 sec, Rcvd: 0.816 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 33.17 sec, Rcvd: 0.795 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 33.37 sec, Rcvd: 0.819 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 33.57 sec, Rcvd: 0.885 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 33.78 sec, Rcvd: 0.742 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 33.98 sec, Rcvd: 0.810 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 34.18 sec, Rcvd: 0.799 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/12), Lost: 0.00%(0/12)
